base_legal,artigo,inciso_alinea_paragrafo,gravidade,descricao,classificacao,observacoes
Art. 230 Inc. XII,Art. 230,Inc. XII,grave,Conduzir veículo com equipamento ou acessório proibido.,Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XIII,Art. 230,Inc. XIII,grave,Conduzir veículo com sistema de iluminação e sinalização alterados.,Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XIV,Art. 230,Inc. XIV,grave,"Conduzir veículo com registrador instantâneo de velocidade e tempo viciado ou defeituoso, quando exigido.",Administrativas/documentais,Retenção do veículo para regularização.
Art. 230 Inc. XV,Art. 230,Inc. XV,grave,Conduzir veículo com publicidade no para-brisa ou em toda a traseira fora das hipóteses permitidas.,Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XVI,Art. 230,Inc. XVI,grave,"Conduzir veículo com vidros cobertos por películas refletivas ou não, painéis decorativos ou pinturas em desacordo.",Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XVII,Art. 230,Inc. XVII,grave,Conduzir veículo com cortinas ou persianas fechadas não autorizadas.,Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XVIII,Art. 230,Inc. XVIII,grave,"Conduzir veículo em mau estado de conservação, comprometendo a segurança, ou reprovado em inspeção de segurança, emissão de poluentes e ruído.",Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XIX,Art. 230,Inc. XIX,grave,Conduzir veículo sem acionar limpador de para-brisa sob chuva.,Segurança viária,Retenção do veículo para regularização.
Art. 230 Inc. XX,Art. 230,Inc. XX,gravíssima,Conduzir veículo sem autorização para condução de escolares.,Transporte coletivo,Multa cinco vezes; remoção do veículo.
Art. 230 Inc. XXI,Art. 230,Inc. XXI,média,Conduzir veículo de carga sem inscrição da tara e demais inscrições previstas no CTB.,Administrativas/documentais,
Art. 230 Inc. XXII,Art. 230,Inc. XXII,média,"Conduzir veículo com defeito no sistema de iluminação ou sinalização, ou com lâmpadas queimadas.",Segurança viária,
Art. 230 Inc. XXIII,Art. 230,Inc. XXIII,média,Conduzir veículo de carga ou coletivo de passageiros em desacordo com regras de tempo ao volante e intervalos de descanso.,Segurança viária,Reincidência em 12 meses converte automaticamente em infração grave.
Art. 231 Inc. I,Art. 231,Inc. I,gravíssima,"Transitar com veículo danificando a via, suas instalações ou equipamentos.",Segurança viária,Retenção do veículo para regularização.
Art. 231 Inc. II,Art. 231,Inc. II,gravíssima,"Transitar derramando, lançando ou arrastando sobre a via carga, combustível, lubrificante ou objeto que possa acarretar risco de sinistro.",Segurança viária,Retenção do veículo para regularização.
Art. 231 Inc. III,Art. 231,Inc. III,grave,"Transitar produzindo fumaça, gases ou partículas acima dos níveis fixados pelo CONTRAN.",Outras/não classificadas,Retenção do veículo para regularização.
Art. 231 Inc. IV,Art. 231,Inc. IV,grave,"Transitar com dimensões do veículo ou da carga superiores aos limites legais ou sinalizados, sem autorização.",Segurança viária,Retenção do veículo para regularização.
Art. 231 Inc. V,Art. 231,Inc. V,média,"Transitar com excesso de peso, admitida tolerância quando aferido por equipamento.",Segurança viária,Multa acrescida conforme excesso; retenção e transbordo da carga excedente.
Art. 231 Inc. VI,Art. 231,Inc. VI,grave,Transitar em desacordo com autorização especial para dimensões excedentes ou com autorização vencida.,Administrativas/documentais,Remoção do veículo.
Art. 231 Inc. VII,Art. 231,Inc. VII,gravíssima,Transitar com lotação excedente.,Segurança viária,Remoção do veículo.
Art. 231 Inc. VIII,Art. 231,Inc. VIII,gravíssima,"Efetuar transporte remunerado de pessoas ou bens sem licenciamento para esse fim, salvo força maior ou permissão.",Administrativas/documentais,Remoção do veículo.
Art. 231 Inc. IX,Art. 231,Inc. IX,média,Transitar com o veículo desligado ou desengrenado em declive.,Segurança viária,Retenção do veículo.
Art. 231 Inc. X,Art. 231,Inc. X,variável,Transitar excedendo a capacidade máxima de tração.,Segurança viária,"Infração de média a gravíssima, conforme relação entre excesso e capacidade máxima de tração."
Art. 232,Art. 232,,leve,Conduzir veículo sem documentos de porte obrigatório.,Administrativas/documentais,Retenção do veículo até apresentação do documento.
Art. 233,Art. 233,,média,Deixar de efetuar registro de veículo no prazo de 30 dias nas hipóteses previstas no art. 123.,Administrativas/documentais,Remoção do veículo.
Art. 234,Art. 234,,gravíssima,Falsificar ou adulterar documento de habilitação ou de identificação do veículo.,Administrativas/documentais,Remoção do veículo.
Art. 235,Art. 235,,grave,"Conduzir pessoas, animais ou carga nas partes externas do veículo, salvo autorização.",Segurança viária,Retenção para transbordo.
Art. 236,Art. 236,,média,"Rebocar outro veículo com cabo flexível ou corda, salvo emergência.",Segurança viária,
Art. 237,Art. 237,,grave,Transitar com veículo em desacordo com especificações ou com falta de inscrição/simbologia exigidas.,Administrativas/documentais,Retenção do veículo para regularização.
Art. 238,Art. 238,,gravíssima,"Recusar-se a entregar documentos de habilitação, registro, licenciamento e outros exigidos por lei para averiguação de autenticidade.",Administrativas/documentais,Remoção do veículo.
Art. 239,Art. 239,,gravíssima,Retirar do local veículo legalmente retido para regularização sem permissão da autoridade ou agentes.,Administrativas/documentais,Remoção do veículo.
Art. 240,Art. 240,,grave,Responsável deixar de promover baixa de registro de veículo irrecuperável ou definitivamente desmontado.,Administrativas/documentais,Recolhimento do CRV e CRLV.
Art. 241,Art. 241,,leve,Deixar de atualizar cadastro de registro do veículo ou de habilitação do condutor.,Administrativas/documentais,
Art. 242,Art. 242,,gravíssima,"Fazer falsa declaração de domicílio para registro, licenciamento ou habilitação.",Administrativas/documentais,
Art. 243,Art. 243,,grave,Empresa seguradora deixar de comunicar perda total ao órgão de trânsito e devolver placas e documentos.,Administrativas/documentais,Recolhimento das placas e documentos.
Art. 244 Inc. I,Art. 244,Inc. I,gravíssima,"Conduzir motocicleta, motoneta ou ciclomotor sem capacete de segurança ou vestuário conforme normas do CONTRAN.",Segurança viária,Suspensão do direito de dirigir; retenção até regularização.
Art. 244 Inc. II,Art. 244,Inc. II,gravíssima,"Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro sem capacete ou fora do assento suplementar/carro lateral.",Segurança viária,Suspensão do direito de dirigir; retenção até regularização.
Art. 244 Inc. III,Art. 244,Inc. III,gravíssima,"Conduzir motocicleta, motoneta ou ciclomotor fazendo malabarismo ou equilibrando-se em uma roda.",Segurança viária,Suspensão do direito de dirigir; retenção até regularização.
Art. 244 Inc. V,Art. 244,Inc. V,gravíssima,"Conduzir motocicleta, motoneta ou ciclomotor transportando criança menor de 10 anos ou sem condições de cuidar da própria segurança.",Segurança viária,Suspensão do direito de dirigir; retenção até regularização.
Art. 244 Inc. VI,Art. 244,Inc. VI,grave,"Conduzir motocicleta, motoneta ou ciclomotor rebocando outro veículo.",Segurança viária,Apreensão do veículo para regularização.
Art. 244 Inc. VII,Art. 244,Inc. VII,grave,"Conduzir motocicleta, motoneta ou ciclomotor sem segurar o guidom com ambas as mãos, salvo para indicação de manobra.",Segurança viária,Apreensão do veículo para regularização.
Art. 244 Inc. VIII,Art. 244,Inc. VIII,grave,"Conduzir motocicleta, motoneta ou ciclomotor transportando carga incompatível ou em desacordo com regras aplicáveis.",Segurança viária,Apreensão do veículo para regularização.
Art. 244 Inc. IX,Art. 244,Inc. IX,grave,"Conduzir motocicleta, motoneta ou ciclomotor efetuando transporte remunerado de mercadorias em desacordo com normas da atividade.",Administrativas/documentais,Apreensão do veículo para regularização.
Art. 244 Inc. X,Art. 244,Inc. X,média,"Conduzir motocicleta, motoneta ou ciclomotor com capacete sem viseira/óculos de proteção ou em desacordo com regulamentação.",Segurança viária,Retenção do veículo até regularização.
Art. 244 Inc. XI,Art. 244,Inc. XI,média,"Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro com capacete sem viseira/óculos de proteção ou em desacordo com regulamentação.",Segurança viária,Retenção do veículo até regularização.
Art. 244 §1º alínea a,Art. 244,§1º alínea a,média,Para ciclos: conduzir passageiro fora da garupa ou assento especial destinado.,Ciclistas,"Aplica-se também a ciclos, conforme §1º e §2º."
Art. 244 §1º alínea b,Art. 244,§1º alínea b,média,"Para ciclos/ciclomotores: transitar em vias de trânsito rápido ou rodovias, salvo onde houver acostamento ou faixas próprias.",Ciclistas,Aplica-se também a ciclomotores conforme §2º.
Art. 244 §1º alínea c,Art. 244,§1º alínea c,média,Para ciclos: transportar crianças que não tenham condições de cuidar da própria segurança.,Ciclistas,Aplica-se conforme §1º e §2º.
Art. 245,Art. 245,,grave,"Utilizar a via para depósito de mercadorias, materiais ou equipamentos sem autorização do órgão de trânsito.",Estacionamento/uso da via,Remoção da mercadoria ou material.
Art. 246,Art. 246,,gravíssima,"Deixar de sinalizar obstáculo à livre circulação ou à segurança de veículos e pedestres, ou obstaculizar a via indevidamente.",Segurança viária,Multa agravada em até cinco vezes conforme risco.
Art. 247,Art. 247,,média,"Deixar de conduzir pelo bordo da pista, em fila única, veículos de tração/propulsão humana ou animal quando não houver acostamento ou faixa própria.",Ciclistas,
Art. 248,Art. 248,,grave,"Transportar, em veículo destinado a passageiros, carga excedente em desacordo com o art. 109.",Segurança viária,Retenção para transbordo.
Art. 249,Art. 249,,média,"Deixar de manter acesas, à noite, luzes de posição quando o veículo estiver parado para embarque/desembarque ou carga/descarga.",Segurança viária,
Art. 250 Inc. I,Art. 250,Inc. I,média,"Em movimento, deixar de manter luz baixa acesa nas hipóteses previstas: noite, túneis, chuva/neblina/cerração, transporte coletivo em faixas próprias, motos/ciclomotores e rodovias de pista simples sem luz diurna.",Segurança viária,
Art. 250 Inc. III,Art. 250,Inc. III,média,"Em movimento, deixar de manter a placa traseira iluminada à noite.",Administrativas/documentais,
Art. 250 Inc. IV,Art. 250,Inc. IV,gravíssima,Veículo de transporte público coletivo ou escolar deixar de manter a porta fechada.,Transporte coletivo,Retenção do veículo até regularização.
Art. 251 Inc. I,Art. 251,Inc. I,média,"Utilizar pisca-alerta, exceto em imobilizações ou situações de emergência.",Segurança viária,
Art. 251 Inc. II,Art. 251,Inc. II,média,Utilizar luz baixa e alta de forma intermitente fora das hipóteses permitidas.,Segurança viária,
Art. 252 Inc. I,Art. 252,Inc. I,média,Dirigir com o braço do lado de fora.,Segurança viária,
Art. 252 Inc. II,Art. 252,Inc. II,média,"Dirigir transportando pessoas, animais ou volume à esquerda do condutor ou entre braços e pernas.",Segurança viária,
Art. 252 Inc. III,Art. 252,Inc. III,média,Dirigir com incapacidade física ou mental temporária que comprometa a segurança.,Segurança viária,
Art. 252 Inc. IV,Art. 252,Inc. IV,média,Dirigir usando calçado que não se firme nos pés ou comprometa o uso dos pedais.,Segurança viária,
Art. 252 Inc. V,Art. 252,Inc. V,média,"Dirigir com apenas uma das mãos, exceto para sinais regulamentares, trocar marcha ou acionar equipamentos/acessórios.",Segurança viária,"Pode ser gravíssima se estiver segurando ou manuseando telefone celular, conforme parágrafo único."
Art. 252 Inc. VI,Art. 252,Inc. VI,média,Dirigir usando fones nos ouvidos conectados a aparelho sonoro ou telefone celular.,Segurança viária,
Art. 252 Inc. VII,Art. 252,Inc. VII,média,Dirigir realizando cobrança de tarifa com o veículo em movimento.,Transporte coletivo,
Art. 252 Parágrafo único,Art. 252,Parágrafo único,gravíssima,Dirigir segurando ou manuseando telefone celular.,Segurança viária,Hipótese vinculada ao inciso V.
Art. 253,Art. 253,,gravíssima,Bloquear a via com veículo.,Fluidez do trânsito,Remoção do veículo.
Art. 253-A,Art. 253-A,,gravíssima,"Usar veículo deliberadamente para interromper, restringir ou perturbar circulação na via sem autorização.",Fluidez do trânsito,Multa vinte vezes e suspensão por 12 meses; agravamento para organizadores.
Art. 254 Inc. I,Art. 254,Inc. I,leve,"Pedestre permanecer ou andar nas pistas de rolamento, exceto para cruzá-las onde permitido.",Pedestres,Multa em 50% do valor da infração leve.
Art. 254 Inc. II,Art. 254,Inc. II,leve,"Pedestre cruzar pistas de rolamento em viadutos, pontes ou túneis, salvo onde exista permissão.",Pedestres,Multa em 50% do valor da infração leve.
Art. 254 Inc. III,Art. 254,Inc. III,leve,"Pedestre atravessar a via dentro das áreas de cruzamento, salvo quando houver sinalização para esse fim.",Pedestres,Multa em 50% do valor da infração leve.
Art. 254 Inc. IV,Art. 254,Inc. IV,leve,"Pedestre utilizar a via em agrupamentos capazes de perturbar o trânsito ou para folguedo, esporte, desfile e similares sem licença.",Pedestres,Multa em 50% do valor da infração leve.
Art. 254 Inc. V,Art. 254,Inc. V,leve,"Pedestre andar fora da faixa própria, passarela, passagem aérea ou subterrânea.",Pedestres,Multa em 50% do valor da infração leve.
Art. 254 Inc. VI,Art. 254,Inc. VI,leve,Pedestre desobedecer à sinalização de trânsito específica.,Pedestres,Multa em 50% do valor da infração leve.
Art. 255,Art. 255,,média,Conduzir bicicleta em passeios onde não seja permitida a circulação ou de forma agressiva.,Ciclistas,Remoção da bicicleta mediante recibo para pagamento da multa.
